Gene_Symbol
ABCA7
ABCE1
ACADM
ACADVL
ACAT1
ACIN1
ACN9
ACTR10
ACTR6
ADAM8
AGTPBP1
AIF1
AIM2
AK2
AKAP7
AKNA
AKR1C3
AKR1C4
ALG13
ALG5
ANAPC10
ANAPC13
ANKRD13D
ANKZF1
ANXA1
AP1G2
AP1S1
AP3S1
APBA3
APBB1IP
APBB3
APIP
APLP2
ARAF
ARHGAP1
ARHGAP30
ARHGAP4
ARHGEF2
ARID3B
ARID4B
ARL6IP5
ARPC3
ARV1
ASB6
ASNSD1
ATG16L2
ATG3
ATHL1
ATP5C1
ATP5EP2
ATP5F1
ATP5H
ATP5I
ATP5J
ATP5J2
ATP5L
ATP5O
ATP5S
ATP6AP1
ATP6V1D
ATP6V1E1
ATP6V1G1
ATXN2
ATXN7L3
B2M
BANP
BAT2
BAT5
BCCIP
BEX2
BLOC1S1
BOLA3
BRE
BRPF1
BSDC1
BTBD10
BTD
BTF3
BUD31
BXDC1
BXDC2
BXDC5
C10orf54
C10orf78
C11orf1
C11orf10
C11orf56
C11orf74
C12orf31
C12orf5
C12orf62
C13orf27
C14orf108
C14orf112
C14orf156
C14orf159
C14orf166
C14orf2
C15orf15
C15orf17
C16orf56
C16orf61
C16orf7
C16orf79
C17orf48
C17orf56
C17orf62
C17orf70
C17orf85
C18orf21
C19orf2
C19orf42
C19orf6
C1orf218
C1orf35
C1orf41
C20orf111
C20orf20
C21orf2
C21orf51
C22orf29
C2orf25
C2orf49
C2orf56
C3orf26
C4orf27
C5orf41
C6orf115
C6orf130
C6orf160
C6orf66
C7orf26
C7orf43
C8orf40
C8orf59
C9orf105
C9orf46
CALM2
CALML4
CAPZA1
CASP1
CASP3
CBWD5
CBX3
CCDC120
CCDC130
CCDC149
CCDC25
CCDC34
CCDC53
CCDC59
CCDC72
CCDC90B
CCDC91
CCNH
CCNI
CCT2
CD3D
CD58
CD84
CDC26
CDC5L
CDK5RAP3
CDV3
CEBPZ
CENPN
CEP63
CETN2
CETN3
CHCHD4
CHCHD9
CHFR
CHKB
CHMP5
CIP29
CIR
CISD1
CKLF
CKS1B
CKS2
CLCN7
CLDN15
CLEC4A
CLEC4D
CLIC1
CLK2
CLN3
CLPTM1
CMTM2
CNBP
CNIH4
CNNM3
COIL
COMMD1
COMMD10
COMMD3
COMMD6
COMMD8
COP1
COPS4
COPS5
COPS8
COQ2
CORO7
COX17
COX5B
COX6A1
COX7A2
COX7B
COX7C
CPNE1
CPSF1
CPT1B
CRAMP1L
CRIPT
CRSP9
CTNS
CTSB
CUTC
CWC15
CWF19L2
CXXC1
CXorf26
CYCSL1
CYLD
DBI
DC2
DCTN6
DCUN1D1
DCUN1D5
DDX1
DDX23
DDX50
DDX56
DEK
DENND1C
DGKQ
DIDO1
DLD
DNAH1
DNAJA1
DNAJA2
DNAJC15
DNAJC5
DNAJC7
DNAJC8
DNAJC9
DPH3
DPH5
DPM1
DPP3
DPRXP4
DPY30
DRG1
DTX2
DVL3
DYNC2LI1
DYNLT1
DYNLT3
E2F3
E4F1
EAF2
EBNA1BP2
ECHDC1
EDC4
EDG4
EEF1B2
EEF1E1
EEF2
EFHA1
EGLN2
EHD1
EIF2A
EIF3E
EIF3M
EIF4G1
ELA1
ELF4
EMG1
EML3
ENSA
ENY2
EPN1
ERCC5
ERH
ESD
ETFA
EVI2A
EXOC7
EXOSC1
EXOSC3
EXOSC7
FAM103A1
FAM133B
FAM14A
FAM18B
FAM38A
FAM39DP
FAM39E
FAM3A
FAM73B
FAM96A
FANCG
FAS
FASN
FBXL6
FBXO8
FBXW8
FCER1A
FES
FGD3
FGL2
FHOD1
FICD
FKBP3
FLII
FLJ11783
FLJ20323
FLJ21438
FOXJ2
FRG1
FTHL7
FUK
FXR1
GAK
GALNT4
GBA
GCS1
GDPD5
GEMIN6
GGPS1
GIMAP7
GIYD1
GIYD2
GLOD4
GLRX
GLT25D1
GMEB2
GMFG
GMPPA
GNB4
GNL2
GNL3
GPBP1
GPR132
GPR137
GPR65
GPS1
GTF2A2
GTF2B
GTF2F2
GTF2H5
H2AFZ
H3F3B
HACL1
HAT1
HBXIP
HDDC2
HDHD2
HECA
HELZ
HGS
HIGD1A
HINT1
HIST1H2BJ
HK3
HMG1L1
HMGB2
HMHA1
HNRPH2
HOXB1
HRSP12
HSP90AA1
HSPA1L
HSPA4
HSPA8
HSPE1
HSPH1
IAH1
IBTK
ICT1
IDH3G
IFFO
IGBP1
ILF3
ING2
ING3
INPPL1
INTS1
INTS12
ISY1
ITGAL
ITGAM
ITPKB
KATNA1
KATNB1
KCTD13
KCTD21
KIAA0020
KIAA0194
KIAA0406
KIAA0913
KIAA1160
KLF6
KLRB1
KPNA4
KPNA6
KRCC1
KTN1
LARP7
LDHB
LLGL1
LMF2
LOC100008589
LOC130355
LOC134997
